mechanism,n_positive_with_type,n_false_negative_with_type,prevalence_among_positive,prevalence_among_positive_pct,false_negative_rate_within_type,false_negative_rate_within_type_pct
insertion,63,7,0.4701492537313433,47.01492537313433,0.1111111111111111,11.11111111111111
affix,27,4,0.20149253731343283,20.149253731343283,0.14814814814814814,14.814814814814813
hyphen_change,14,3,0.1044776119402985,10.44776119402985,0.21428571428571427,21.428571428571427
substitution,52,1,0.3880597014925373,38.80597014925373,0.019230769230769232,1.9230769230769231
deletion,45,1,0.3358208955223881,33.582089552238806,0.022222222222222223,2.2222222222222223
digit_change,13,1,0.09701492537313433,9.701492537313433,0.07692307692307693,7.6923076923076925
repeat_char,10,0,0.07462686567164178,7.462686567164178,0.0,0.0
transposition,10,0,0.07462686567164178,7.462686567164178,0.0,0.0
digit_substitution,7,0,0.05223880597014925,5.223880597014925,0.0,0.0
separator_change,6,0,0.04477611940298507,4.477611940298507,0.0,0.0
leet_pair,3,0,0.022388059701492536,2.2388059701492535,0.0,0.0
numeric_affix,2,0,0.014925373134328358,1.4925373134328357,0.0,0.0
mixed_script,0,0,0.0,0.0,0.0,0.0
multichar_confusable,0,0,0.0,0.0,0.0,0.0
non_ascii,0,0,0.0,0.0,0.0,0.0
punycode,0,0,0.0,0.0,0.0,0.0
unicode_homoglyph,0,0,0.0,0.0,0.0,0.0
visual_confusable,0,0,0.0,0.0,0.0,0.0
